taskId, min_lat, min_lon, max_lat, max_lon
686,16.7645079588,94.7024954283,16.7695079588,94.7074954283
685,16.8295079588,94.7674954283,16.8345079588,94.7724954283
683,16.8245079588,94.7674954283,16.8295079588,94.7724954283
682,16.7545079588,94.7024954283,16.7595079588,94.7074954283
678,16.8095079588,94.7674954283,16.8145079588,94.7724954283
677,16.7745079588,94.7674954283,16.7795079588,94.7724954283
675,16.9195079588,94.7624954283,16.9245079588,94.7674954283
674,16.9145079588,94.7624954283,16.9195079588,94.7674954283
673,16.9095079588,94.7624954283,16.9145079588,94.7674954283
671,16.8345079588,94.6974954283,16.8395079588,94.7024954283
669,16.8245079588,94.6974954283,16.8295079588,94.7024954283
668,16.8895079588,94.7624954283,16.8945079588,94.7674954283
667,16.8195079588,94.6974954283,16.8245079588,94.7024954283
666,16.8845079588,94.7624954283,16.8895079588,94.7674954283
665,16.8145079588,94.6974954283,16.8195079588,94.7024954283
664,16.8795079588,94.7624954283,16.8845079588,94.7674954283
662,16.8745079588,94.7624954283,16.8795079588,94.7674954283
661,16.8045079588,94.6974954283,16.8095079588,94.7024954283
660,16.8695079588,94.7624954283,16.8745079588,94.7674954283
659,16.7995079588,94.6974954283,16.8045079588,94.7024954283
658,16.8645079588,94.7624954283,16.8695079588,94.7674954283
657,16.8595079588,94.7624954283,16.8645079588,94.7674954283
656,16.8545079588,94.7624954283,16.8595079588,94.7674954283
655,16.7845079588,94.6974954283,16.7895079588,94.7024954283
654,16.8495079588,94.7624954283,16.8545079588,94.7674954283
653,16.7795079588,94.6974954283,16.7845079588,94.7024954283
652,16.8445079588,94.7624954283,16.8495079588,94.7674954283
651,16.7745079588,94.6974954283,16.7795079588,94.7024954283
650,16.8395079588,94.7624954283,16.8445079588,94.7674954283
648,16.8345079588,94.7624954283,16.8395079588,94.7674954283
647,16.7645079588,94.6974954283,16.7695079588,94.7024954283
646,16.8295079588,94.7624954283,16.8345079588,94.7674954283
645,16.7595079588,94.6974954283,16.7645079588,94.7024954283
644,16.8245079588,94.7624954283,16.8295079588,94.7674954283
643,16.7545079588,94.6974954283,16.7595079588,94.7024954283
642,16.8195079588,94.7624954283,16.8245079588,94.7674954283
641,16.7495079588,94.6974954283,16.7545079588,94.7024954283
640,16.8045079588,94.7624954283,16.8095079588,94.7674954283
639,16.7695079588,94.7624954283,16.7745079588,94.7674954283
638,16.7645079588,94.7624954283,16.7695079588,94.7674954283
636,16.9195079588,94.7574954283,16.9245079588,94.7624954283
635,16.9145079588,94.7574954283,16.9195079588,94.7624954283
634,16.9095079588,94.7574954283,16.9145079588,94.7624954283
633,16.9045079588,94.7574954283,16.9095079588,94.7624954283
631,16.8895079588,94.7574954283,16.8945079588,94.7624954283
630,16.8845079588,94.7574954283,16.8895079588,94.7624954283
628,16.8795079588,94.7574954283,16.8845079588,94.7624954283
626,16.8745079588,94.7574954283,16.8795079588,94.7624954283
625,16.8045079588,94.6924954283,16.8095079588,94.6974954283
624,16.8695079588,94.7574954283,16.8745079588,94.7624954283
623,16.7995079588,94.6924954283,16.8045079588,94.6974954283
622,16.8645079588,94.7574954283,16.8695079588,94.7624954283
621,16.8595079588,94.7574954283,16.8645079588,94.7624954283
619,16.8545079588,94.7574954283,16.8595079588,94.7624954283
618,16.7845079588,94.6924954283,16.7895079588,94.6974954283
617,16.8495079588,94.7574954283,16.8545079588,94.7624954283
616,16.7795079588,94.6924954283,16.7845079588,94.6974954283
615,16.8445079588,94.7574954283,16.8495079588,94.7624954283
613,16.8395079588,94.7574954283,16.8445079588,94.7624954283
612,16.7695079588,94.6924954283,16.7745079588,94.6974954283
611,16.8345079588,94.7574954283,16.8395079588,94.7624954283
610,16.7645079588,94.6924954283,16.7695079588,94.6974954283
609,16.8295079588,94.7574954283,16.8345079588,94.7624954283
608,16.7595079588,94.6924954283,16.7645079588,94.6974954283
607,16.8245079588,94.7574954283,16.8295079588,94.7624954283
606,16.8195079588,94.7574954283,16.8245079588,94.7624954283
605,16.8045079588,94.7574954283,16.8095079588,94.7624954283
604,16.7395079588,94.7574954283,16.7445079588,94.7624954283
603,16.7345079588,94.7574954283,16.7395079588,94.7624954283
601,16.9195079588,94.7524954283,16.9245079588,94.7574954283
244,16.8020079588,94.7624954283,16.8045079588,94.7649954283
243,16.7570079588,94.7299954283,16.7595079588,94.7324954283
242,16.7995079588,94.7624954283,16.8020079588,94.7649954283
241,16.7545079588,94.7299954283,16.7570079588,94.7324954283
240,16.7970079588,94.7624954283,16.7995079588,94.7649954283
239,16.7520079588,94.7299954283,16.7545079588,94.7324954283
238,16.7945079588,94.7624954283,16.7970079588,94.7649954283
237,16.7495079588,94.7299954283,16.7520079588,94.7324954283
236,16.7920079588,94.7624954283,16.7945079588,94.7649954283
235,16.7470079588,94.7299954283,16.7495079588,94.7324954283
233,16.7445079588,94.7299954283,16.7470079588,94.7324954283
232,16.7870079588,94.7624954283,16.7895079588,94.7649954283
231,16.7845079588,94.7624954283,16.7870079588,94.7649954283
230,16.7820079588,94.7624954283,16.7845079588,94.7649954283
229,16.7795079588,94.7624954283,16.7820079588,94.7649954283
227,16.7745079588,94.7624954283,16.7770079588,94.7649954283
226,16.8020079588,94.7274954283,16.8045079588,94.7299954283
225,16.7995079588,94.7274954283,16.8020079588,94.7299954283
224,16.7970079588,94.7274954283,16.7995079588,94.7299954283
218,16.7820079588,94.7274954283,16.7845079588,94.7299954283
217,16.7795079588,94.7274954283,16.7820079588,94.7299954283
216,16.7770079588,94.7274954283,16.7795079588,94.7299954283
214,16.7720079588,94.7274954283,16.7745079588,94.7299954283
210,16.7620079588,94.7274954283,16.7645079588,94.7299954283
207,16.7570079588,94.7274954283,16.7595079588,94.7299954283
206,16.7995079588,94.7599954283,16.8020079588,94.7624954283
205,16.7545079588,94.7274954283,16.7570079588,94.7299954283
204,16.7970079588,94.7599954283,16.7995079588,94.7624954283
203,16.7520079588,94.7274954283,16.7545079588,94.7299954283
201,16.7495079588,94.7274954283,16.7520079588,94.7299954283
199,16.7470079588,94.7274954283,16.7495079588,94.7299954283
198,16.7895079588,94.7599954283,16.7920079588,94.7624954283
197,16.7445079588,94.7274954283,16.7470079588,94.7299954283
196,16.7870079588,94.7599954283,16.7895079588,94.7624954283
195,16.7845079588,94.7599954283,16.7870079588,94.7624954283
194,16.7820079588,94.7599954283,16.7845079588,94.7624954283
193,16.7795079588,94.7599954283,16.7820079588,94.7624954283
192,16.7770079588,94.7599954283,16.7795079588,94.7624954283
190,16.7720079588,94.7599954283,16.7745079588,94.7624954283
189,16.7695079588,94.7599954283,16.7720079588,94.7624954283
188,16.7670079588,94.7599954283,16.7695079588,94.7624954283
187,16.7645079588,94.7599954283,16.7670079588,94.7624954283
186,16.7620079588,94.7599954283,16.7645079588,94.7624954283
185,16.7595079588,94.7599954283,16.7620079588,94.7624954283
184,16.7570079588,94.7599954283,16.7595079588,94.7624954283
183,16.7545079588,94.7599954283,16.7570079588,94.7624954283
182,16.7520079588,94.7599954283,16.7545079588,94.7624954283
181,16.7495079588,94.7599954283,16.7520079588,94.7624954283
180,16.7470079588,94.7599954283,16.7495079588,94.7624954283
179,16.7445079588,94.7599954283,16.7470079588,94.7624954283
178,16.7970079588,94.7249954283,16.7995079588,94.7274954283
177,16.7945079588,94.7249954283,16.7970079588,94.7274954283
176,16.7920079588,94.7249954283,16.7945079588,94.7274954283
173,16.7845079588,94.7249954283,16.7870079588,94.7274954283
172,16.7770079588,94.7249954283,16.7795079588,94.7274954283
886,16.9245079588,94.7424954283,16.9295079588,94.7474954283
885,16.9195079588,94.7424954283,16.9245079588,94.7474954283
884,16.9145079588,94.7424954283,16.9195079588,94.7474954283
883,16.9095079588,94.7424954283,16.9145079588,94.7474954283
882,16.9045079588,94.7424954283,16.9095079588,94.7474954283
881,16.8995079588,94.7424954283,16.9045079588,94.7474954283
880,16.8945079588,94.7424954283,16.8995079588,94.7474954283
879,16.8895079588,94.7424954283,16.8945079588,94.7474954283
878,16.8845079588,94.7424954283,16.8895079588,94.7474954283
877,16.8795079588,94.7424954283,16.8845079588,94.7474954283
876,16.8745079588,94.7424954283,16.8795079588,94.7474954283
875,16.8695079588,94.7424954283,16.8745079588,94.7474954283
874,16.8645079588,94.7424954283,16.8695079588,94.7474954283
873,16.8595079588,94.7424954283,16.8645079588,94.7474954283
872,16.8545079588,94.7424954283,16.8595079588,94.7474954283
871,16.8495079588,94.7424954283,16.8545079588,94.7474954283
870,16.8445079588,94.7424954283,16.8495079588,94.7474954283
869,16.8395079588,94.7424954283,16.8445079588,94.7474954283
868,16.8345079588,94.7424954283,16.8395079588,94.7474954283
867,16.8295079588,94.7424954283,16.8345079588,94.7474954283
864,16.8045079588,94.7424954283,16.8095079588,94.7474954283
862,16.9195079588,94.7374954283,16.9245079588,94.7424954283
861,16.9145079588,94.7374954283,16.9195079588,94.7424954283
860,16.9095079588,94.7374954283,16.9145079588,94.7424954283
859,16.9045079588,94.7374954283,16.9095079588,94.7424954283
858,16.8995079588,94.7374954283,16.9045079588,94.7424954283
857,16.8945079588,94.7374954283,16.8995079588,94.7424954283
856,16.8895079588,94.7374954283,16.8945079588,94.7424954283
855,16.8845079588,94.7374954283,16.8895079588,94.7424954283
854,16.8795079588,94.7374954283,16.8845079588,94.7424954283
853,16.8745079588,94.7374954283,16.8795079588,94.7424954283
852,16.8695079588,94.7374954283,16.8745079588,94.7424954283
851,16.8645079588,94.7374954283,16.8695079588,94.7424954283
849,16.8545079588,94.7374954283,16.8595079588,94.7424954283
848,16.8495079588,94.7374954283,16.8545079588,94.7424954283
847,16.8445079588,94.7374954283,16.8495079588,94.7424954283
846,16.8395079588,94.7374954283,16.8445079588,94.7424954283
845,16.8345079588,94.7374954283,16.8395079588,94.7424954283
844,16.9195079588,94.7324954283,16.9245079588,94.7374954283
843,16.9145079588,94.7324954283,16.9195079588,94.7374954283
841,16.9045079588,94.7324954283,16.9095079588,94.7374954283
839,16.8945079588,94.7324954283,16.8995079588,94.7374954283
838,16.8895079588,94.7324954283,16.8945079588,94.7374954283
161,16.7545079588,94.7249954283,16.7570079588,94.7274954283
157,16.7495079588,94.7249954283,16.7520079588,94.7274954283
155,16.7470079588,94.7249954283,16.7495079588,94.7274954283
153,16.7445079588,94.7249954283,16.7470079588,94.7274954283
152,16.7870079588,94.7574954283,16.7895079588,94.7599954283
151,16.7845079588,94.7574954283,16.7870079588,94.7599954283
150,16.7820079588,94.7574954283,16.7845079588,94.7599954283
149,16.7795079588,94.7574954283,16.7820079588,94.7599954283
148,16.7770079588,94.7574954283,16.7795079588,94.7599954283
147,16.7745079588,94.7574954283,16.7770079588,94.7599954283
146,16.7720079588,94.7574954283,16.7745079588,94.7599954283
145,16.7695079588,94.7574954283,16.7720079588,94.7599954283
144,16.7670079588,94.7574954283,16.7695079588,94.7599954283
143,16.7645079588,94.7574954283,16.7670079588,94.7599954283
142,16.7620079588,94.7574954283,16.7645079588,94.7599954283
141,16.7595079588,94.7574954283,16.7620079588,94.7599954283
140,16.7570079588,94.7574954283,16.7595079588,94.7599954283
139,16.7545079588,94.7574954283,16.7570079588,94.7599954283
138,16.7520079588,94.7574954283,16.7545079588,94.7599954283
137,16.7495079588,94.7574954283,16.7520079588,94.7599954283
136,16.7470079588,94.7574954283,16.7495079588,94.7599954283
135,16.7445079588,94.7574954283,16.7470079588,94.7599954283
134,16.7970079588,94.7224954283,16.7995079588,94.7249954283
133,16.7945079588,94.7224954283,16.7970079588,94.7249954283
132,16.7920079588,94.7224954283,16.7945079588,94.7249954283
131,16.7895079588,94.7224954283,16.7920079588,94.7249954283
130,16.7870079588,94.7224954283,16.7895079588,94.7249954283
129,16.7845079588,94.7224954283,16.7870079588,94.7249954283
127,16.7770079588,94.7224954283,16.7795079588,94.7249954283
126,16.8195079588,94.7549954283,16.8220079588,94.7574954283
125,16.7745079588,94.7224954283,16.7770079588,94.7249954283
124,16.8170079588,94.7549954283,16.8195079588,94.7574954283
122,16.8145079588,94.7549954283,16.8170079588,94.7574954283
118,16.7620079588,94.7224954283,16.7645079588,94.7249954283
117,16.7595079588,94.7224954283,16.7620079588,94.7249954283
116,16.8020079588,94.7549954283,16.8045079588,94.7574954283
115,16.7570079588,94.7224954283,16.7595079588,94.7249954283
113,16.7545079588,94.7224954283,16.7570079588,94.7249954283
111,16.7520079588,94.7224954283,16.7545079588,94.7249954283
110,16.7945079588,94.7549954283,16.7970079588,94.7574954283
109,16.7495079588,94.7224954283,16.7520079588,94.7249954283
108,16.7920079588,94.7549954283,16.7945079588,94.7574954283
107,16.7470079588,94.7224954283,16.7495079588,94.7249954283
106,16.7895079588,94.7549954283,16.7920079588,94.7574954283
105,16.7445079588,94.7224954283,16.7470079588,94.7249954283
104,16.7870079588,94.7549954283,16.7895079588,94.7574954283
103,16.7845079588,94.7549954283,16.7870079588,94.7574954283
102,16.7820079588,94.7549954283,16.7845079588,94.7574954283
101,16.7795079588,94.7549954283,16.7820079588,94.7574954283
100,16.7770079588,94.7549954283,16.7795079588,94.7574954283
99,16.7745079588,94.7549954283,16.7770079588,94.7574954283
98,16.7720079588,94.7549954283,16.7745079588,94.7574954283
97,16.7695079588,94.7549954283,16.7720079588,94.7574954283
96,16.7670079588,94.7549954283,16.7695079588,94.7574954283
95,16.7645079588,94.7549954283,16.7670079588,94.7574954283
94,16.7620079588,94.7549954283,16.7645079588,94.7574954283
93,16.7595079588,94.7549954283,16.7620079588,94.7574954283
92,16.7570079588,94.7549954283,16.7595079588,94.7574954283
91,16.7545079588,94.7549954283,16.7570079588,94.7574954283
90,16.7520079588,94.7549954283,16.7545079588,94.7574954283
88,16.7470079588,94.7549954283,16.7495079588,94.7574954283
87,16.7445079588,94.7549954283,16.7470079588,94.7574954283
86,16.8220079588,94.7524954283,16.8245079588,94.7549954283
85,16.8195079588,94.7524954283,16.8220079588,94.7549954283
82,16.8145079588,94.7524954283,16.8170079588,94.7549954283
77,16.7595079588,94.7199954283,16.7620079588,94.7224954283
76,16.8020079588,94.7524954283,16.8045079588,94.7549954283
74,16.7995079588,94.7524954283,16.8020079588,94.7549954283
72,16.7970079588,94.7524954283,16.7995079588,94.7549954283
71,16.7520079588,94.7199954283,16.7545079588,94.7224954283
70,16.7945079588,94.7524954283,16.7970079588,94.7549954283
69,16.7495079588,94.7199954283,16.7520079588,94.7224954283
68,16.7920079588,94.7524954283,16.7945079588,94.7549954283
67,16.7470079588,94.7199954283,16.7495079588,94.7224954283
66,16.7895079588,94.7524954283,16.7920079588,94.7549954283
65,16.7445079588,94.7199954283,16.7470079588,94.7224954283
